,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
202,383,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,500,1.609
,,,,,,,,,,,,,,,
203,384,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,500,1.504
,,,,,,,,,,,,,,,
204,385,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,500,3.068
,,,,,,,,,,,,,,,
205,386,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,500,1.386
,,,,,,,,,,,,,,,
206,387,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,500,1.792
,,,,,,,,,,,,,,,
207,388,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,500,1.609
,,,,,,,,,,,,,,,
208,389,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,40,500,2.442
,,,,,,,,,,,,,,,
209,390,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,40,500,2.442
,,,,,,,,,,,,,,,
210,391,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,60,500,0.916
,,,,,,,,,,,,,,,
211,392,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,60,500,1.253
,,,,,,,,,,,,,,,
212,393,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,500,1.946
,,,,,,,,,,,,,,,
213,394,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,500,0.916
,,,,,,,,,,,,,,,
214,395,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,500,0.693
,,,,,,,,,,,,,,,
215,396,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,500,1.946
,,,,,,,,,,,,,,,
216,397,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,500,2.079
,,,,,,,,,,,,,,,
217,398,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,500,1.872
,,,,,,,,,,,,,,,
218,399,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,500,3.332
,,,,,,,,,,,,,,,
219,400,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,500,2.079
,,,,,,,,,,,,,,,
220,401,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,40,500,1.792
,,,,,,,,,,,,,,,
221,402,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,40,500,2.197
,,,,,,,,,,,,,,,
222,403,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,60,500,2.015
,,,,,,,,,,,,,,,
223,404,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,60,500,3.219
,,,,,,,,,,,,,,,
224,405,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,500,3.114
,,,,,,,,,,,,,,,
225,406,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,500,1.253
,,,,,,,,,,,,,,,
226,407,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,500,1.504
,,,,,,,,,,,,,,,
227,408,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,500,2.398
,,,,,,,,,,,,,,,
228,409,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,500,6.13
,,,,,,,,,,,,,,,
229,410,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,500,6.897
,,,,,,,,,,,,,,,
230,411,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,500,4.673
,,,,,,,,,,,,,,,
231,412,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,40,500,6.752
,,,,,,,,,,,,,,,
232,413,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,40,500,7.247
,,,,,,,,,,,,,,,
233,414,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,40,500,4.016
,,,,,,,,,,,,,,,
234,415,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,60,500,5.25
,,,,,,,,,,,,,,,
235,416,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,60,500,7.638
,,,,,,,,,,,,,,,
236,417,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,500,6.446
,,,,,,,,,,,,,,,
237,418,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,500,4.82
