Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_B16
165,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,1.609
166,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,1.5
167,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,1.5
168,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,1.5
169,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,1.5
170,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,1.5
171,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,1.5
172,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,1.5
173,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,1.5
174,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,1.5
175,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,1.5
176,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,1.5
177,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,1.5
178,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,1.5
179,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,1.5
180,18PG,0,1,8.8188,3,10,36,2,1,0,0,0,0,0,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,1.5
