,LGBM,XGB,RF,kNN,DT,lasso,MLR,PLS
196,0.01716747924766937,0.023050816538292107,0.034464115158956865,0.005570730406504798,0.045896438804748474,0.1217911636006257,0.03914378353429537,0.037344994972055345
197,0.07425101813782542,0.04683852051790738,0.06921169327329835,0.05215038166373387,0.11154318460908741,0.27490378773502017,0.20700117593777945,0.20464623855450226
198,0.2276547416812308,0.1655382513999939,0.25713091826988654,0.2505325565163131,0.1468481375358165,0.5095747616134458,0.45556380623537707,0.45087415345010806
199,0.05918878744103706,0.0025611748424065883,0.06326818119798017,0.016818714805898805,0.040012279983626664,0.19811570557635483,0.04554249396158161,0.04503662317175394
200,0.07082405714777384,0.05692906549022747,0.079863214626826,0.10738103560895829,0.08923454768726957,0.1335008720801465,0.02512966809929218,0.022071333351167288
201,0.12977952253531932,0.13527046384940222,0.07441294856051373,0.029151216660112778,0.10212853049529269,0.06445507980784637,0.0037718092559410055,0.008073324999726683
202,0.08170079664307417,0.12260049283870456,0.09774730522581565,0.10363286909402425,0.1364101514531314,0.026636217226998715,0.07908507815205412,0.08129803203407482
203,0.0514575331879758,0.02961605743360568,0.05130645381361637,0.004680064982934773,0.044412607449856645,0.08478334163666873,0.11604120574681925,0.11870823682147147
204,0.11907542136562693,0.16147196490502086,0.11330195115295394,0.02832853816370534,0.09859803520261967,0.12197470666195065,0.15239329236213234,0.15410072223213428
205,0.00921102605076557,0.0013832365251495449,0.04736321462682522,0.19900861155157756,0.058329922226770387,0.31458244460442547,0.35234866864909054,0.35057610597969135
206,0.1625267494052307,0.15236499013834393,0.13361167962887127,0.16179053454134457,0.18537658616455177,0.10499047518047022,0.038779323062705595,0.040238538141172064
207,0.11161764137033592,0.14383429702412526,0.03697025515077107,0.09766951876019625,0.06334424887433487,0.1502478897662427,0.11923096746480011,0.120608943191586
208,0.02275337211594014,0.002523235253901246,0.05878769272752077,0.05485220311009614,0.0008698321735570724,0.06178421860244293,0.12936179524660424,0.130192191922697
209,0.21654323139748594,0.1835669433538708,0.23516919088552332,0.3462027676404775,0.3816004911993451,0.43247991355991205,0.42868945333264025,0.4323502056257691
210,0.18041857777808823,0.1579970661436394,0.16306897257470346,0.23114695364099402,0.007981989357347535,0.3884712669059091,0.4623759264188001,0.46172063422739407
211,0.048676689515607996,0.08965368057146361,0.03227759585209444,0.005175843233859889,0.09332787556283273,0.051893838792574476,0.008563694542979228,0.007512316826986387
212,0.1787287641415487,0.31035844555312964,0.2716209578387229,0.23959549684506437,0.2928776094965207,0.2785244750661161,0.4056864728913633,0.4071172190958733
213,0.10122926340960053,0.10448361604466472,0.0787075317232907,0.10606723743274571,0.17278960294719592,0.12456203150362805,0.09433506850520562,0.09021155013574766
214,0.06191853172323253,0.06961363085556643,0.05104106972301731,0.02098084949020601,0.07731273024969304,0.007450345971037331,0.06267132641489465,0.06753463197771653
215,0.09766444129168406,0.09112080515675292,0.11419224996588895,0.11552627474036092,0.1552906262791648,0.19030942693358877,0.03732261848056473,0.03730102395774626
216,0.18247909039121235,0.05353791020563564,0.14146302360485685,0.17595353028420274,0.11727384363487514,0.18752055139776136,0.16259850377555468,0.17572068696675308
217,0.015163166920517224,0.0027643570000159823,0.03993791786055312,0.0707286179883112,0.06436758084322558,0.13811935898737204,0.0905499761918781,0.08340843802142861
218,0.09759213327739791,0.03352266608619603,0.03467867376176814,0.09307910492146143,0.01841997544003271,0.11495815055543157,0.1688282053461841,0.1597536605469531
219,0.06428050663029361,0.13690286128188167,0.15425092099877247,0.24292264140378672,0.04973393368808843,0.2581623489769077,0.2824939198170119,0.27772629743559474
220,0.28100666855702094,0.45161006271814746,0.42192693409742105,0.4501203850791375,0.7451391731477692,0.48472885981681474,0.5368889768772465,0.5411883462330891
221,0.2272878826109247,0.18196317986587118,0.320082548778824,0.2254663196714281,0.4202312730249694,0.2901702797030144,0.3535734682260351,0.34722290651856336
222,0.1977156538438566,0.09575521833721945,0.11561809250921018,0.2775662071060449,0.04589643880474825,0.24117555434603805,0.294896503366731,0.28424899549254556
223,0.02963649301342411,0.12469435714084598,0.05317198799290479,0.30955044214460253,0.2555259926320098,0.3906278594028637,0.3862011286531556,0.39597744958139314
224,0.12587656341647202,0.06636931563907122,0.16680038204393555,0.22313164642817696,0.2044617273843634,0.37203176317442616,0.33068913104633424,0.32685750866708585
225,0.03840550799797238,0.0451070701202505,0.07021285304952973,0.04940881312806389,0.13876381498157997,0.07950973874217726,0.0893787247880245,0.08149499132168603
226,0.08578820347469063,0.01811708522731048,0.09886034929731236,0.1692202112214518,0.06825624232501015,0.27656593622577114,0.3796340999589186,0.3746203595334971
227,0.2696073824862132,0.15145896406286918,0.26287658616455234,0.30782781955045213,0.22861236185018408,0.3974617596367822,0.4209454682782629,0.42108775822823186
228,0.014847481857986011,0.033387603034652935,0.10627029608404992,0.21303373362968353,0.02773229635693819,0.152118144221695,0.312142851013603,0.3088204187528697
229,0.03190896274128918,0.025232303120589217,0.001017191977077836,0.0709164036968476,0.08821121571837898,0.0688287028035568,0.1137010375062647,0.10678836491984767
230,0.028458199665899242,0.07217711119977754,0.01892993587119629,0.08520861355572018,0.08022922636103158,0.1605049509493427,0.2791936678988508,0.2736421354790465
231,0.1453995161635233,0.10260467786941185,0.19106562969027174,0.2069061592786352,0.22687269750306993,0.40526108472243183,0.3508618977719148,0.3458973380617032
232,0.10044351858691358,0.16715473268444891,0.14487481238913802,0.5381500376481607,0.33902988129349154,0.394589344555129,0.34653069164917083,0.33948777269767116
233,0.07599378258045009,0.06965998001777862,0.009675262655205574,0.05670667752817038,0.5562832582889891,0.10033955253079552,0.16690924219957665,0.15792428049434803
234,0.18741086628637083,0.24704697683020505,0.1341127711829715,0.019736554376894366,0.5486082685223085,0.09544966020115309,0.11243321948677715,0.10536030170811816
