,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI
683,1,1,6.12,111.0,0,8,0,12,100,80,10,112.1666667,-1.543333333,0.211333333
684,1,1,6.12,111.0,0,8,0,4,50,20,10,131.9333333,-8.303333333,0.382
685,1,1,6.12,111.0,0,8,0,8,50,20,10,130.2,-1.67,0.408333333
686,1,1,6.12,111.0,0,8,0,12,50,20,10,611.0333333,-4.006666667,0.368666667
687,1,1,6.12,111.0,0,8,0,4,50,40,10,149.6666667,-5.433333333,0.191666667
688,1,1,6.12,111.0,0,8,0,8,50,40,10,133.9666667,-0.782666667,0.316333333
689,1,1,6.12,111.0,0,8,0,12,50,40,10,138.3,-0.808,0.326
690,1,1,6.12,111.0,0,8,0,4,50,60,10,134.9666667,-2.59,0.216333333
691,1,1,6.12,111.0,0,8,0,8,50,60,10,140.6333333,-0.939333333,0.252333333
692,1,1,6.12,111.0,0,8,0,12,50,60,10,97.09,-1.427333333,0.251
693,1,1,6.12,111.0,0,8,0,4,50,80,10,104.5666667,-4.286666667,0.164333333
694,1,1,6.12,111.0,0,8,0,8,50,80,10,110.4,-3.123333333,0.162333333
695,1,1,6.12,111.0,0,8,0,12,50,80,10,95.28,-2.5,0.202666667
696,1,1,6.12,111.0,0,8,0,4,10,20,10,115.9666667,-5.833333333,0.283666667
697,1,1,6.12,111.0,0,8,0,8,10,20,10,130.5666667,-1.171666667,0.339666667
698,1,1,6.12,111.0,0,8,0,12,10,20,10,320.0666667,-3.613333333,0.756333333
699,1,1,6.12,111.0,0,8,0,4,10,40,10,129.2333333,-8.426666667,0.187
700,1,1,6.12,111.0,0,8,0,8,10,40,10,121.4666667,-0.833,0.242333333
701,1,1,6.12,111.0,0,8,0,12,10,40,10,169.4666667,-0.889,0.346
702,1,1,6.12,111.0,0,8,0,4,10,60,10,134.3333333,-3.496666667,0.149666667
703,1,1,6.12,111.0,0,8,0,8,10,60,10,114.1666667,-1.372,0.231666667
704,1,1,6.12,111.0,0,8,0,12,10,60,10,92.96333333,-2.23,0.255666667
705,1,1,6.12,111.0,0,8,0,4,10,80,10,118.9,-7.86,0.206333333
706,1,1,6.12,111.0,0,8,0,8,10,80,10,94.82333333,-1.491,0.199666667
707,1,1,6.12,111.0,0,8,0,12,10,80,10,95.42666667,-2.646666667,0.200333333
708,1,1,6.12,111.0,0,8,0,4,1,20,10,395.1666667,-16.8,0.705333333
709,1,1,6.12,111.0,0,8,0,8,1,20,10,156.3,-9.796666667,0.287
710,1,1,6.12,111.0,0,8,0,12,1,20,10,139.8,-6.03,0.211666667
711,1,1,6.12,111.0,0,8,0,4,1,40,10,144.2333333,-7.93,0.199666667
712,1,1,6.12,111.0,0,8,0,8,1,40,10,131.1,-1.069666667,0.226666667
713,1,1,6.12,111.0,0,8,0,12,1,40,10,150.6666667,-1.002,0.35
714,1,1,6.12,111.0,0,8,0,4,1,60,10,151.8666667,-6.88,0.188666667
715,1,1,6.12,111.0,0,8,0,8,1,60,10,143.0666667,-0.741333333,0.263
716,1,1,6.12,111.0,0,8,0,12,1,60,10,122.1,-1.561,0.250333333
717,1,1,6.12,111.0,0,8,0,4,1,80,10,149.8,-13.63333333,0.23
718,1,1,6.12,111.0,0,8,0,8,1,80,10,152.3333333,-3.446666667,0.243666667
719,1,1,6.12,111.0,0,8,0,12,1,80,10,156.8,-1.356666667,0.304
