,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
253,254,DOPE,1,1,9.784,2,9,36,2,8,100,20,100,263.8333333,-6.34,5.204
254,255,DOPE,1,1,9.784,2,9,36,2,12,100,20,100,303.3666667,-2.326666667,4.533
255,256,DOPE,1,1,9.784,2,9,36,2,4,100,40,100,174.6666667,-3.043333333,5.024
256,257,DOPE,1,1,9.784,2,9,36,2,8,100,40,100,148.9333333,-0.049066667,4.883
257,258,DOPE,1,1,9.784,2,9,36,2,12,100,40,100,152.4666667,-1.993333333,5.056
258,259,DOPE,1,1,9.784,2,9,36,2,4,100,60,100,164.2,-2.476666667,4.997
259,260,DOPE,1,1,9.784,2,9,36,2,8,100,60,100,150.2666667,1.32,4.466
260,261,DOPE,1,1,9.784,2,9,36,2,12,100,60,100,191.8,-1.426666667,3.219
261,262,DOPE,1,1,9.784,2,9,36,2,4,100,80,100,241.5333333,-15.93333333,3.434
262,263,DOPE,1,1,9.784,2,9,36,2,8,100,80,100,148.0333333,-3.53,3.611
263,264,DOPE,1,1,9.784,2,9,36,2,12,100,80,100,155.5666667,-3.316666667,3.714
264,265,DOPE,1,1,9.784,2,9,36,2,4,50,20,100,153.8666667,-3.213333333,6.026
265,266,DOPE,1,1,9.784,2,9,36,2,8,50,20,100,203.9333333,-2.766666667,5.193
266,267,DOPE,1,1,9.784,2,9,36,2,12,50,20,100,263.9333333,-1.060666667,5.333
267,268,DOPE,1,1,9.784,2,9,36,2,4,50,40,100,170.0666667,-3.176666667,5.13
268,269,DOPE,1,1,9.784,2,9,36,2,8,50,40,100,158.3666667,-1.57,5.333
269,270,DOPE,1,1,9.784,2,9,36,2,12,50,40,100,130.9333333,0.963666667,5.037
270,271,DOPE,1,1,9.784,2,9,36,2,4,50,60,100,160.7333333,-3.816666667,5.609
271,272,DOPE,1,1,9.784,2,9,36,2,8,50,60,100,138.7333333,0.242266667,4.956
272,273,DOPE,1,1,9.784,2,9,36,2,12,50,60,100,152.2333333,-1.88,4.771
