,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3,Exp_PC3
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,2.833250342481756,17.000628984869827
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,3.1355228402877575,23.00065836967064
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,2.890175541218196,17.99646844628277
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,2.5650388426503046,13.001163359504929
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,2.707904251597284,14.997810917177775
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,2.5650388426503046,13.001163359504929
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,2.707904251597284,14.997810917177775
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,2.6389732352794555,13.998822728800372
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,2.4848821211989405,11.999705660541164
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,2.5650388426503046,13.001163359504929
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,2.6389732352794555,13.998822728800372
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,2.995939748575446,20.004149930917713
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,2.6389732352794555,13.998822728800372
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,2.5650388426503046,13.001163359504929
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,2.6389732352794555,13.998822728800372
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,2.707904251597284,14.997810917177775
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,2.5650388426503046,13.001163359504929
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,3.6633416783292767,38.99142219924015
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,2.944332606715115,18.997979030914447
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,2.6389732352794555,13.998822728800372
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,2.5650388426503046,13.001163359504929
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,2.890175541218196,17.99646844628277
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,2.833250342481756,17.000628984869827
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,3.218845704509294,24.999247002367667
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,2.833250342481756,17.000628984869827
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,2.890175541218196,17.99646844628277
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,2.707904251597284,14.997810917177775
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,3.2957025435723697,26.99637353790015
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,2.5650388426503046,13.001163359504929
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,2.7726789280592854,16.001443358210743
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,2.890175541218196,17.99646844628277
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,2.4848821211989405,11.999705660541164
