,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
254,255,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,100,3.0
255,256,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,100,3.0
256,257,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,100,3.0
257,258,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,100,3.555
258,259,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,100,3.0
259,260,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,100,3.0
260,261,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,100,3.0
261,262,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,100,3.0
262,263,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,100,3.0
263,264,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,100,3.0
264,265,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,100,3.0
265,266,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,100,3.0
266,267,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,100,3.0
267,268,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,100,3.0
268,269,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,100,3.0
269,270,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,100,3.0
270,271,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,100,3.0
271,272,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,100,3.0
272,273,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,100,3.0
273,274,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,100,3.0
274,275,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,100,3.0
275,276,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,100,3.0
276,277,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,100,4.043
277,278,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,100,3.0
278,279,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,100,3.0
279,280,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,100,3.0
280,281,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,100,3.0
281,282,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,100,3.0
282,283,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,100,3.0
283,284,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,100,3.0
284,285,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,100,3.434
285,286,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,100,3.0
286,287,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,100,3.0
287,288,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,100,4.431
288,289,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,100,3.0
289,290,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,100,3.0
290,291,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,100,3.258
291,292,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,100,3.0
292,293,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,100,3.0
293,294,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,100,3.332
294,295,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,100,3.0
