,P_charged_centers,N_charged_centers,cLogP,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
253,1.0,1.0,9.784,8.0,100.0,20.0,100.0,263.8333333,-6.34,0.08302428520157915
255,1.0,1.0,9.784,4.0,100.0,40.0,100.0,174.6666667,-3.043333333,0.12106711329106354
256,1.0,1.0,9.784,8.0,100.0,40.0,100.0,148.9333333,-0.049066667,0.24500538341906922
257,1.0,1.0,9.784,12.0,100.0,40.0,100.0,152.4666667,-1.993333333,0.33448977150376835
258,1.0,1.0,9.784,4.0,100.0,60.0,100.0,164.2,-2.476666667,0.5363081708338318
259,1.0,1.0,9.784,8.0,100.0,60.0,100.0,150.2666667,1.32,0.3288670893647565
260,1.0,1.0,9.784,12.0,100.0,60.0,100.0,191.8,-1.426666667,0.29094389281014477
261,1.0,1.0,9.784,4.0,100.0,80.0,100.0,241.5333333,-15.93333333,0.382701280057423
262,1.0,1.0,9.784,8.0,100.0,80.0,100.0,148.0333333,-3.53,0.2855604737408781
263,1.0,1.0,9.784,12.0,100.0,80.0,100.0,155.5666667,-3.316666667,0.29094389281014477
264,1.0,1.0,9.784,4.0,50.0,20.0,100.0,153.8666667,-3.213333333,0.5346333293456155
266,1.0,1.0,9.784,12.0,50.0,20.0,100.0,263.9333333,-1.060666667,0.5613111616222035
267,1.0,1.0,9.784,4.0,50.0,40.0,100.0,170.0666667,-3.176666667,0.7353750448618256
268,1.0,1.0,9.784,8.0,50.0,40.0,100.0,158.3666667,-1.57,0.6274674004067472
269,1.0,1.0,9.784,12.0,50.0,40.0,100.0,130.9333333,0.963666667,0.4023208517765282
270,1.0,1.0,9.784,4.0,50.0,60.0,100.0,160.7333333,-3.816666667,0.3832994377317861
271,1.0,1.0,9.784,8.0,50.0,60.0,100.0,138.7333333,0.242266667,0.47362124656059335
272,1.0,1.0,9.784,12.0,50.0,60.0,100.0,152.2333333,-1.88,0.4232563703792319
273,1.0,1.0,9.784,4.0,50.0,80.0,100.0,189.0,-15.9,0.41883000358894595
274,1.0,1.0,9.784,8.0,50.0,80.0,100.0,147.2,-5.523333333,0.3091278861107788
275,1.0,1.0,9.784,12.0,50.0,80.0,100.0,148.5333333,-2.94,0.2785022131833951
278,1.0,1.0,9.784,12.0,10.0,20.0,100.0,168.1666667,-0.284166667,0.18004545998325158
279,1.0,1.0,9.784,4.0,10.0,40.0,100.0,164.0666667,-0.60825,0.41918889819356375
281,1.0,1.0,9.784,12.0,10.0,40.0,100.0,161.1333333,0.813333333,0.4023208517765282
282,1.0,1.0,9.784,4.0,10.0,60.0,100.0,179.6666667,1.84,0.4160784782868764
283,1.0,1.0,9.784,8.0,10.0,60.0,100.0,153.8,-0.397333333,0.4049527455437253
284,1.0,1.0,9.784,12.0,10.0,60.0,100.0,150.7333333,-0.254666667,0.4707500897236512
285,1.0,1.0,9.784,4.0,10.0,80.0,100.0,222.5666667,-12.13333333,0.28962794592654617
286,1.0,1.0,9.784,8.0,10.0,80.0,100.0,166.1666667,-6.06,0.3821031223830601
287,1.0,1.0,9.784,12.0,10.0,80.0,100.0,198.6666667,-0.9158,0.42959684172747925
288,1.0,1.0,9.784,4.0,1.0,20.0,100.0,236.7666667,-3.646666667,0.21689197272401003
289,1.0,1.0,9.784,8.0,1.0,20.0,100.0,211.3666667,1.916666667,0.17657614547194642
290,1.0,1.0,9.784,12.0,1.0,20.0,100.0,182.6,0.651,0.34752960880488093
291,1.0,1.0,9.784,4.0,1.0,40.0,100.0,179.9,-1.32,0.411771743031463
292,1.0,1.0,9.784,8.0,1.0,40.0,100.0,196.2,2.876666667,0.4554372532599593
294,1.0,1.0,9.784,4.0,1.0,60.0,100.0,197.7,0.54,0.4348606292618734
295,1.0,1.0,9.784,8.0,1.0,60.0,100.0,148.4666667,4.106666667,0.41081469075248234
296,1.0,1.0,9.784,12.0,1.0,60.0,100.0,171.6333333,1.651,0.27993779160186616
297,1.0,1.0,9.784,4.0,1.0,80.0,100.0,253.0666667,-0.074666667,0.37839454480200974
298,1.0,1.0,9.784,8.0,1.0,80.0,100.0,186.6333333,-5.6,0.3614068668501016
299,1.0,1.0,9.784,12.0,1.0,80.0,100.0,150.0333333,6.683333333,0.2143797104916856
303,1.0,1.0,9.784,4.0,200.0,40.0,10.0,170.1333333,-5.413333333,0.4165570044263668
304,1.0,1.0,9.784,8.0,200.0,40.0,10.0,176.6666667,-1.593333333,0.415599952147386
306,1.0,1.0,9.784,4.0,200.0,60.0,10.0,153.6333333,-3.223333333,0.4707500897236512
307,1.0,1.0,9.784,8.0,200.0,60.0,10.0,153.0333333,-1.48,0.4674004067472185
308,1.0,1.0,9.784,12.0,200.0,60.0,10.0,149.9,-2.086666667,0.654504127287953
309,1.0,1.0,9.784,4.0,200.0,80.0,10.0,133.1,-3.64,0.5559277425529369
310,1.0,1.0,9.784,8.0,200.0,80.0,10.0,138.3666667,-33.9,0.5446823782749132
311,1.0,1.0,9.784,12.0,200.0,80.0,10.0,136.2333333,-2.783333333,0.7254456274674004
315,1.0,1.0,9.784,4.0,100.0,40.0,10.0,137.9333333,-6.893333333,0.7252063643976552
318,1.0,1.0,9.784,4.0,100.0,60.0,10.0,137.5666667,-3.093333333,0.6088048809666228
319,1.0,1.0,9.784,8.0,100.0,60.0,10.0,115.6333333,-2.686666667,0.7894484986242374
320,1.0,1.0,9.784,12.0,100.0,60.0,10.0,207.0666667,-1.29,0.8380189017825097
321,1.0,1.0,9.784,4.0,100.0,80.0,10.0,145.4,-3.763333333,0.25254217011604263
322,1.0,1.0,9.784,8.0,100.0,80.0,10.0,135.8666667,-36.3,0.2694102165330782
323,1.0,1.0,9.784,12.0,100.0,80.0,10.0,120.9333333,-1.66,0.06699365952865169
326,1.0,1.0,9.784,12.0,50.0,20.0,10.0,496.8333333,-6.54,0.14989831319535826
327,1.0,1.0,9.784,4.0,50.0,40.0,10.0,93.06666667,-2.723333333,0.34669218806077284
330,1.0,1.0,9.784,4.0,50.0,60.0,10.0,136.1666667,-2.57,0.21186744825936119
331,1.0,1.0,9.784,8.0,50.0,60.0,10.0,129.5,-1.666333333,0.1832755114248116
333,1.0,1.0,9.784,4.0,50.0,80.0,10.0,143.0333333,-3.51,0.11018064361765759
334,1.0,1.0,9.784,8.0,50.0,80.0,10.0,134.7,-36.66666667,0.11018064361765759
335,1.0,1.0,9.784,12.0,50.0,80.0,10.0,135.2333333,-2.383333333,0.384495753080512
339,1.0,1.0,9.784,4.0,10.0,40.0,10.0,132.7666667,-5.483333333,0.25948079913865296
341,1.0,1.0,9.784,12.0,10.0,40.0,10.0,153.0,-1.983333333,0.15815288910156713
342,1.0,1.0,9.784,4.0,10.0,60.0,10.0,156.7333333,-3.656666667,0.02679746381146067
343,1.0,1.0,9.784,8.0,10.0,60.0,10.0,134.0666667,-1.370333333,0.2769470032300514
344,1.0,1.0,9.784,12.0,10.0,60.0,10.0,167.5,-2.37,0.39705706424213416
345,1.0,1.0,9.784,4.0,10.0,80.0,10.0,144.4333333,-4.92,0.4257686326115564
346,1.0,1.0,9.784,8.0,10.0,80.0,10.0,161.1333333,-31.9,0.3482473980141165
347,1.0,1.0,9.784,12.0,10.0,80.0,10.0,118.1666667,-2.056666667,0.37767675559277414
351,1.0,1.0,9.784,4.0,1.0,40.0,10.0,157.5,-3.126666667,0.14559157793994496
352,1.0,1.0,9.784,8.0,1.0,40.0,10.0,140.4666667,-1.383333333,0.5893049407823902
354,1.0,1.0,9.784,4.0,1.0,60.0,10.0,153.2,-2.37,0.5035291302787415
355,1.0,1.0,9.784,8.0,1.0,60.0,10.0,129.7666667,-1.059,0.5701638952027753
