,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
363,1,12.515,0,4,200,40,500
364,1,12.515,0,8,200,40,500
365,1,12.515,0,12,200,40,500
366,1,12.515,0,4,200,60,500
367,1,12.515,0,8,200,60,500
368,1,12.515,0,12,200,60,500
369,1,12.515,0,4,200,80,500
370,1,12.515,0,8,200,80,500
371,1,12.515,0,12,200,80,500
372,1,12.515,0,4,100,20,500
373,1,12.515,0,8,100,20,500
374,1,12.515,0,12,100,20,500
375,1,12.515,0,4,100,40,500
376,1,12.515,0,8,100,40,500
377,1,12.515,0,12,100,40,500
378,1,12.515,0,4,100,60,500
379,1,12.515,0,8,100,60,500
380,1,12.515,0,12,100,60,500
381,1,12.515,0,4,100,80,500
382,1,12.515,0,8,100,80,500
383,1,12.515,0,12,100,80,500
384,1,12.515,0,4,50,20,500
385,1,12.515,0,8,50,20,500
386,1,12.515,0,12,50,20,500
387,1,12.515,0,4,50,40,500
388,1,12.515,0,8,50,40,500
389,1,12.515,0,12,50,40,500
390,1,12.515,0,4,50,60,500
391,1,12.515,0,8,50,60,500
392,1,12.515,0,12,50,60,500
393,1,12.515,0,4,50,80,500
394,1,12.515,0,8,50,80,500
395,1,12.515,0,12,50,80,500
396,1,12.515,0,4,10,20,500
397,1,12.515,0,8,10,20,500
398,1,12.515,0,12,10,20,500
399,1,12.515,0,4,10,40,500
400,1,12.515,0,8,10,40,500
401,1,12.515,0,12,10,40,500
402,1,12.515,0,4,10,60,500
403,1,12.515,0,8,10,60,500
404,1,12.515,0,12,10,60,500
405,1,12.515,0,4,10,80,500
406,1,12.515,0,8,10,80,500
407,1,12.515,0,12,10,80,500
408,1,12.515,0,4,1,20,500
409,1,12.515,0,8,1,20,500
410,1,12.515,0,12,1,20,500
411,1,12.515,0,4,1,40,500
412,1,12.515,0,8,1,40,500
413,1,12.515,0,12,1,40,500
414,1,12.515,0,4,1,60,500
415,1,12.515,0,8,1,60,500
416,1,12.515,0,12,1,60,500
417,1,12.515,0,4,1,80,500
418,1,12.515,0,8,1,80,500
419,1,12.515,0,12,1,80,500
420,1,12.515,0,4,200,20,100
421,1,12.515,0,8,200,20,100
422,1,12.515,0,12,200,20,100
423,1,12.515,0,4,200,40,100
424,1,12.515,0,8,200,40,100
425,1,12.515,0,12,200,40,100
426,1,12.515,0,4,200,60,100
427,1,12.515,0,8,200,60,100
428,1,12.515,0,12,200,60,100
429,1,12.515,0,4,200,80,100
430,1,12.515,0,8,200,80,100
431,1,12.515,0,12,200,80,100
432,1,12.515,0,4,100,20,100
433,1,12.515,0,8,100,20,100
434,1,12.515,0,12,100,20,100
435,1,12.515,0,4,100,40,100
436,1,12.515,0,8,100,40,100
437,1,12.515,0,12,100,40,100
438,1,12.515,0,4,100,60,100
439,1,12.515,0,8,100,60,100
440,1,12.515,0,12,100,60,100
441,1,12.515,0,4,100,80,100
442,1,12.515,0,8,100,80,100
443,1,12.515,0,12,100,80,100
444,1,12.515,0,4,50,20,100
445,1,12.515,0,8,50,20,100
446,1,12.515,0,12,50,20,100
447,1,12.515,0,4,50,40,100
448,1,12.515,0,8,50,40,100
449,1,12.515,0,12,50,40,100
450,1,12.515,0,4,50,60,100
451,1,12.515,0,8,50,60,100
452,1,12.515,0,12,50,60,100
453,1,12.515,0,4,50,80,100
