,RF,LGBM,XGB,DT,kNN,lasso,PLS,MLR
546,0.027142090382355058,0.07906142149112069,0.030757460896825628,0.04547040830989672,0.02810748670786034,0.022375265578176873,0.03619559051004109,0.039089059106919566
547,0.0029372178531172632,0.0007603917887238631,0.06030123605992299,0.10834890070412415,0.02970254346888919,0.032282898359206225,0.13253504012495002,0.13386365746951234
548,0.007634808959899514,0.0035686001186058525,0.016005966658735438,0.04259643216389872,2.7755575615628914e-17,0.03928167469582999,0.03286931212502345,0.03569483731248205
549,0.022402141838860357,0.04279600939954521,0.003821995262956457,2.7755575615628914e-17,2.7755575615628914e-17,0.04865521167256637,0.011864002143609498,0.011314129207147278
550,0.0031554046305349026,0.006014644753984638,0.0059695059107301995,2.7755575615628914e-17,0.016036786894668753,0.03784207398931222,0.015470176416975873,0.014401676452353962
551,0.031022138463414922,0.035908882240169054,0.012336674924040003,2.7755575615628914e-17,2.7755575615628914e-17,0.045064416361983384,0.010353996583136044,0.00965535600842457
552,0.019436242318417785,0.00923508704541881,0.00750911592974679,2.7755575615628914e-17,0.06962207213680138,0.09942041085407055,0.0556867841656829,0.0557989766849232
553,0.019859642039435937,0.004714829385450259,0.02726801127657874,2.7755575615628914e-17,0.09999999999999998,0.0915196562431429,0.027996625611697454,0.02760379990498306
554,0.22255444669590896,0.12530909833424902,0.02132764815821664,0.005891651099295875,0.03111079178042825,0.03267007976549391,0.08332051162584903,0.0842366050780887
555,0.04074396113847267,0.1099555070917797,0.007932919855261011,0.10272069741821141,0.04017818652105187,0.04390287213937344,0.09890483502244446,0.09831214536602531
556,0.00032802484952471067,0.0006953918675889625,0.019106674785757227,0.0,0.03198735450495763,0.008136837513692985,0.11162544518742262,0.11156518560126144
557,0.009558399657959876,0.05240061263105446,0.2658408821177287,0.17506107199310245,0.01678402069262827,0.005638892973919785,0.221620580378525,0.22139976683219867
558,0.009884198473245898,0.02889739424142207,0.0644699264179105,0.023915587214911604,0.14211812041960056,0.0892056265714754,0.3451942677348678,0.34622034034455457
