Formula label,Helper_lipid,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HEK293
186,DOPE,0,0,1,0,0,0,267.7333333,0.806666667,-2.356666667,12,0.199600798,40,0.497512438,8.02
187,DOPE,0,0,1,0,0,0,206.6,0.246666667,-5.31,4,0.199600798,60,0.497512438,3.829
188,DOPE,0,0,1,0,0,0,173.1333333,0.215,0.721666667,8,0.199600798,60,0.497512438,6.341
189,DOPE,0,0,1,0,0,0,183.6666667,0.260333333,-0.501666667,12,0.199600798,60,0.497512438,10.645
190,DOPE,0,0,1,0,0,0,166.6333333,0.219666667,-24.63333333,4,0.199600798,80,0.497512438,3.314
191,DOPE,0,0,1,0,0,0,137.6333333,0.164666667,-6.11,8,0.199600798,80,0.497512438,5.816
192,DOPE,0,0,1,0,0,0,158.8,0.225333333,-0.955,12,0.199600798,80,0.497512438,5.981
193,DOPE,0,0,1,0,0,0,577.6666667,0.252,-11.77666667,4,0.199600798,20,0.99009901,8.361
194,DOPE,0,0,1,0,0,0,562.7666667,0.344333333,-3.553333333,8,0.199600798,20,0.99009901,8.831
195,DOPE,0,0,1,0,0,0,288.1666667,0.316,-1.593,12,0.199600798,20,0.99009901,8.008
196,DOPE,0,0,1,0,0,0,240.3,0.260333333,-3.686666667,4,0.199600798,40,0.99009901,2.197
197,DOPE,0,0,1,0,0,0,191.7333333,0.264,0.269333333,8,0.199600798,40,0.99009901,7.994
198,DOPE,0,0,1,0,0,0,189.9666667,0.325666667,-2.24,12,0.199600798,40,0.99009901,10.284
199,DOPE,0,0,1,0,0,0,192.8,0.182,-3.663333333,4,0.199600798,60,0.99009901,8.146
200,DOPE,0,0,1,0,0,0,170.3,0.242,0.073,8,0.199600798,60,0.99009901,6.336
201,DOPE,0,0,1,0,0,0,181.6333333,0.328333333,-1.161666667,12,0.199600798,60,0.99009901,10.81
202,DOPE,0,0,1,0,0,0,172.9333333,0.206666667,-26.66666667,4,0.199600798,80,0.99009901,4.388
203,DOPE,0,0,1,0,0,0,148.0,0.187666667,-6.033333333,8,0.199600798,80,0.99009901,7.105
204,DOPE,0,0,1,0,0,0,162.5333333,0.193666667,-0.325333333,12,0.199600798,80,0.99009901,8.201
205,DOPE,0,0,1,0,0,0,650.7333333,0.484666667,-11.36666667,4,0.199600798,20,1.960784314,8.28
206,DOPE,0,0,1,0,0,0,403.2666667,0.629666667,-4.096666667,8,0.199600798,20,1.960784314,8.337
207,DOPE,0,0,1,0,0,0,475.3333333,0.162,-3.116666667,12,0.199600798,20,1.960784314,9.564
208,DOPE,0,0,1,0,0,0,191.8,0.206,-0.756333333,4,0.199600798,40,1.960784314,2.398
209,DOPE,0,0,1,0,0,0,170.0,0.294,0.3774,8,0.199600798,40,1.960784314,8.257
210,DOPE,0,0,1,0,0,0,307.4666667,0.557666667,-3.04,12,0.199600798,40,1.960784314,10.436
211,DOPE,0,0,1,0,0,0,189.0333333,0.220333333,-2.12,4,0.199600798,60,1.960784314,6.433
212,DOPE,0,0,1,0,0,0,155.4333333,0.233333333,1.195666667,8,0.199600798,60,1.960784314,6.296
213,DOPE,0,0,1,0,0,0,256.8,0.427666667,0.16,12,0.199600798,60,1.960784314,10.999
214,DOPE,0,0,1,0,0,0,202.3,0.256333333,-29.4,4,0.199600798,80,1.960784314,3.761
215,DOPE,0,0,1,0,0,0,135.8666667,0.173666667,-10.41,8,0.199600798,80,1.960784314,7.61
216,DOPE,0,0,1,0,0,0,163.5333333,0.229333333,-0.4925,12,0.199600798,80,1.960784314,11.412
217,DOPE,0,0,1,0,0,0,431.8,0.420666667,-9.42,4,0.199600798,20,9.090909091,8.692
