,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI,RLU_N2a
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,177.0333333,-4.186666667,0.31,5.733
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,223.4,-2.646666667,0.485666667,5.106
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,169.1333333,-2.373333333,0.368333333,4.29
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,193.5,-1.616666667,0.275333333,4.86
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,139.0,-1.976666667,0.236666667,4.875
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,159.2333333,-2.136666667,0.303666667,4.71
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,171.7,-0.094333333,0.236333333,5.024
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,150.1333333,-1.95,0.232,4.407
248,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,177.5333333,-2.43,0.260666667,5.472
249,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,219.6333333,-15.26666667,0.307666667,4.007
250,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,141.4666667,-3.21,0.245666667,3.892
251,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,160.0333333,-4.51,0.184333333,5.429
252,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,176.9333333,-4.66,0.24,5.635
253,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,263.8333333,-6.34,0.433333333,5.204
254,255,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,100,303.3666667,-2.326666667,0.674666667,4.533
255,256,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,100,174.6666667,-3.043333333,0.246333333,5.024
256,257,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,100,148.9333333,-0.049066667,0.217333333,4.883
257,258,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,100,152.4666667,-1.993333333,0.288333333,5.056
258,259,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,100,164.2,-2.476666667,0.201666667,4.997
259,260,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,100,150.2666667,1.32,0.204333333,4.466
260,261,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,100,191.8,-1.426666667,0.244333333,3.219
261,262,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,100,241.5333333,-15.93333333,0.267,3.434
262,263,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,100,148.0333333,-3.53,0.21,3.611
263,264,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,100,155.5666667,-3.316666667,0.167333333,3.714
