,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI
279,1,1,9.784,2,9,36,2,4,10,40,100,164.0666667,0.157333333
280,1,1,9.784,2,9,36,2,8,10,40,100,478.0,0.815333333
281,1,1,9.784,2,9,36,2,12,10,40,100,161.1333333,0.330333333
282,1,1,9.784,2,9,36,2,4,10,60,100,179.6666667,0.263333333
283,1,1,9.784,2,9,36,2,8,10,60,100,153.8,0.197333333
284,1,1,9.784,2,9,36,2,12,10,60,100,150.7333333,0.228333333
285,1,1,9.784,2,9,36,2,4,10,80,100,222.5666667,0.208
286,1,1,9.784,2,9,36,2,8,10,80,100,166.1666667,0.209333333
287,1,1,9.784,2,9,36,2,12,10,80,100,198.6666667,0.219
288,1,1,9.784,2,9,36,2,4,1,20,100,236.7666667,0.272333333
289,1,1,9.784,2,9,36,2,8,1,20,100,211.3666667,0.439666667
290,1,1,9.784,2,9,36,2,12,1,20,100,182.6,0.281
291,1,1,9.784,2,9,36,2,4,1,40,100,179.9,0.168333333
292,1,1,9.784,2,9,36,2,8,1,40,100,196.2,0.148333333
293,1,1,9.784,2,9,36,2,12,1,40,100,180.0,0.512666667
294,1,1,9.784,2,9,36,2,4,1,60,100,197.7,0.18
295,1,1,9.784,2,9,36,2,8,1,60,100,148.4666667,0.206666667
296,1,1,9.784,2,9,36,2,12,1,60,100,171.6333333,0.198666667
297,1,1,9.784,2,9,36,2,4,1,80,100,253.0666667,0.335333333
298,1,1,9.784,2,9,36,2,8,1,80,100,186.6333333,0.255
299,1,1,9.784,2,9,36,2,12,1,80,100,150.0333333,0.178
300,1,1,9.784,2,9,36,2,4,200,20,10,274.6,0.739666667
301,1,1,9.784,2,9,36,2,8,200,20,10,236.6,0.577
302,1,1,9.784,2,9,36,2,12,200,20,10,405.4,0.707666667
303,1,1,9.784,2,9,36,2,4,200,40,10,170.1333333,0.409333333
304,1,1,9.784,2,9,36,2,8,200,40,10,176.6666667,0.290333333
305,1,1,9.784,2,9,36,2,12,200,40,10,260.6666667,0.788666667
306,1,1,9.784,2,9,36,2,4,200,60,10,153.6333333,0.193
307,1,1,9.784,2,9,36,2,8,200,60,10,153.0333333,0.370333333
308,1,1,9.784,2,9,36,2,12,200,60,10,149.9,0.288333333
309,1,1,9.784,2,9,36,2,4,200,80,10,133.1,0.144333333
310,1,1,9.784,2,9,36,2,8,200,80,10,138.3666667,0.247666667
311,1,1,9.784,2,9,36,2,12,200,80,10,136.2333333,0.169
312,1,1,9.784,2,9,36,2,4,100,20,10,196.5,0.676666667
313,1,1,9.784,2,9,36,2,8,100,20,10,197.3,0.605666667
314,1,1,9.784,2,9,36,2,12,100,20,10,213.9333333,0.647666667
315,1,1,9.784,2,9,36,2,4,100,40,10,137.9333333,0.216666667
316,1,1,9.784,2,9,36,2,8,100,40,10,470.4333333,1.0
317,1,1,9.784,2,9,36,2,12,100,40,10,165.9666667,0.624666667
318,1,1,9.784,2,9,36,2,4,100,60,10,137.5666667,0.191333333
319,1,1,9.784,2,9,36,2,8,100,60,10,115.6333333,0.217
320,1,1,9.784,2,9,36,2,12,100,60,10,207.0666667,0.332333333
321,1,1,9.784,2,9,36,2,4,100,80,10,145.4,0.130333333
322,1,1,9.784,2,9,36,2,8,100,80,10,135.8666667,0.231
323,1,1,9.784,2,9,36,2,12,100,80,10,120.9333333,0.173
324,1,1,9.784,2,9,36,2,4,50,20,10,278.8333333,0.789333333
325,1,1,9.784,2,9,36,2,8,50,20,10,415.8,0.856666667
326,1,1,9.784,2,9,36,2,12,50,20,10,496.8333333,0.378333333
327,1,1,9.784,2,9,36,2,4,50,40,10,93.06666667,0.211
328,1,1,9.784,2,9,36,2,8,50,40,10,207.5666667,0.603666667
329,1,1,9.784,2,9,36,2,12,50,40,10,201.6333333,0.620333333
330,1,1,9.784,2,9,36,2,4,50,60,10,136.1666667,0.159666667
331,1,1,9.784,2,9,36,2,8,50,60,10,129.5,0.283
332,1,1,9.784,2,9,36,2,12,50,60,10,202.5,0.512333333
333,1,1,9.784,2,9,36,2,4,50,80,10,143.0333333,0.155333333
334,1,1,9.784,2,9,36,2,8,50,80,10,134.7,0.230666667
335,1,1,9.784,2,9,36,2,12,50,80,10,135.2333333,0.219666667
336,1,1,9.784,2,9,36,2,4,10,20,10,235.4666667,0.617
337,1,1,9.784,2,9,36,2,8,10,20,10,378.9333333,0.809333333
338,1,1,9.784,2,9,36,2,12,10,20,10,476.3333333,0.748333333
339,1,1,9.784,2,9,36,2,4,10,40,10,132.7666667,0.226
340,1,1,9.784,2,9,36,2,8,10,40,10,279.9666667,0.880333333
341,1,1,9.784,2,9,36,2,12,10,40,10,153.0,0.411666667
342,1,1,9.784,2,9,36,2,4,10,60,10,156.7333333,0.235666667
343,1,1,9.784,2,9,36,2,8,10,60,10,134.0666667,0.204666667
344,1,1,9.784,2,9,36,2,12,10,60,10,167.5,0.380333333
345,1,1,9.784,2,9,36,2,4,10,80,10,144.4333333,0.081666667
346,1,1,9.784,2,9,36,2,8,10,80,10,161.1333333,0.24
347,1,1,9.784,2,9,36,2,12,10,80,10,118.1666667,0.198
348,1,1,9.784,2,9,36,2,4,1,20,10,302.6666667,0.693
349,1,1,9.784,2,9,36,2,8,1,20,10,270.0333333,0.633333333
350,1,1,9.784,2,9,36,2,12,1,20,10,180.3,0.614
351,1,1,9.784,2,9,36,2,4,1,40,10,157.5,0.177
352,1,1,9.784,2,9,36,2,8,1,40,10,140.4666667,0.248666667
353,1,1,9.784,2,9,36,2,12,1,40,10,228.2,0.517
354,1,1,9.784,2,9,36,2,4,1,60,10,153.2,0.232666667
355,1,1,9.784,2,9,36,2,8,1,60,10,129.7666667,0.194666667
356,1,1,9.784,2,9,36,2,12,1,60,10,145.7333333,0.333666667
357,1,1,9.784,2,9,36,2,4,1,80,10,165.1666667,0.186
358,1,1,9.784,2,9,36,2,8,1,80,10,157.6666667,0.210666667
359,1,1,9.784,2,9,36,2,12,1,80,10,140.5666667,0.184333333
360,1,0,12.515,0,4,36,2,4,200,20,500,157.3333333,0.166
