,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_N2a
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,4.682
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,4.533
189,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,3.258
190,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,2.197
191,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,2.639
192,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,6.619
193,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,6.066
194,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,5.549
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,5.82
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,5.124
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,5.394
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,5.347
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,5.215
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,5.215
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,5.153
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,3.932
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,4.635
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,6.303
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,6.009
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,5.389
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,5.513
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,4.956
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,5.017
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,5.384
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,4.949
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,4.804
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,5.257
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,3.555
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,4.025
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,6.997
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,6.18
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,5.505
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,6.071
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,5.749
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,5.231
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,6.161
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,6.009
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,6.001
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,7.607
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,6.916
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,6.551
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,6.038
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,8.595
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,7.874
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,8.389
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,9.338
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,8.956
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,9.82
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,8.782
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,9.016
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,10.091
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,10.023
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,9.557
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,5.733
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,5.106
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,4.29
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,4.86
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,4.875
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,4.71
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,5.024
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,4.407
248,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,5.472
249,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,4.007
250,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,3.892
251,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,5.429
252,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,5.635
253,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,5.204
254,255,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,100,4.533
255,256,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,100,5.024
256,257,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,100,4.883
257,258,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,100,5.056
258,259,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,100,4.997
259,260,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,100,4.466
260,261,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,100,3.219
261,262,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,100,3.434
262,263,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,100,3.611
263,264,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,100,3.714
264,265,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,100,6.026
265,266,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,100,5.193
266,267,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,100,5.333
267,268,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,100,5.13
268,269,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,100,5.333
269,270,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,100,5.037
270,271,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,100,5.609
271,272,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,100,4.956
272,273,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,100,4.771
273,274,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,100,5.318
274,275,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,100,4.043
275,276,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,100,6.969
276,277,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,100,6.457
277,278,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,100,5.357
278,279,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,100,5.71
279,280,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,100,6.628
280,281,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,100,5.943
281,282,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,100,5.872
282,283,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,100,7.681
283,284,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,100,6.817
284,285,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,100,5.756
285,286,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,100,8.712
286,287,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,100,7.524
287,288,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,100,7.093
288,289,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,100,9.043
289,290,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,100,8.948
290,291,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,100,7.891
291,292,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,100,9.87
292,293,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,100,8.838
293,294,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,100,8.756
294,295,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,100,10.216
295,296,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,100,8.985
296,297,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,100,8.301
297,298,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,100,10.438
298,299,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,100,10.235
299,300,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,100,9.509
300,301,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,10,2.639
301,302,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,10,2.303
302,303,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,10,2.197
303,304,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,10,2.89
304,305,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,10,3.178
305,306,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,10,3.332
306,307,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,10,3.178
307,308,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,10,3.367
308,309,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,10,3.97
309,310,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,10,3.178
310,311,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,10,3.497
311,312,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,10,4.304
312,313,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,10,2.398
313,314,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,10,1.792
314,315,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,10,1.099
315,316,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,10,1.386
316,317,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,10,2.944
317,318,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,10,2.773
318,319,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,10,2.565
319,320,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,10,3.526
320,321,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,10,4.22
321,322,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,10,3.332
322,323,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,10,2.773
