,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI,RLU_B16
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,208.5,1.541666667,0.330666667,3.807
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,193.9,-1.64,0.197333333,3.0
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,159.3,2.77,0.201,3.0
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,190.9666667,2.354,0.275,4.103
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,166.8666667,-26.83333333,0.266,3.0
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,146.8666667,5.42,0.208666667,3.57
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,167.8,7.203333333,0.237,4.317
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,287.7333333,2.916666667,0.327,3.296
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,473.2,5.006666667,0.17,3.0
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,261.7,4.206666667,0.330333333,3.0
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,205.1,4.25,0.196,3.726
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,177.9333333,2.72,0.268,3.0
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,224.5,4.343333333,0.256333333,3.0
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,195.0333333,5.876666667,0.254,3.807
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,179.0333333,6.29,0.261666667,4.167
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,237.6333333,6.303333333,0.301,3.638
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,164.9666667,11.93333333,0.183666667,5.185
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,171.5333333,8.72,0.187333333,5.707
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,177.0333333,-4.186666667,0.31,3.314
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,169.1333333,-2.373333333,0.368333333,3.512
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,193.5,-1.616666667,0.275333333,3.0
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,139.0,-1.976666667,0.236666667,3.555
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,159.2333333,-2.136666667,0.303666667,4.419
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,171.7,-0.094333333,0.236333333,3.0
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,150.1333333,-1.95,0.232,3.0
