,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_ARPE19,Exp_ARPE19
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,4.0943253910687325,59.99884974182383
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,4.276550399640532,71.99166868701877
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,4.8975792494420975,133.96509077982392
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,5.513168988172113,247.9355883838467
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,7.907685834242648,2718.0930646400143
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,6.532658235120131,687.2225848212153
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,5.860900398147942,351.0400776012889
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,6.9228985375170495,1015.2584986432103
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,5.811389798971708,334.08311154122845
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,5.717434113433353,304.12357436560137
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,4.3310331763890195,76.02279096040995
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,7.156825791834921,1282.8324860589598
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,7.4925875744480015,1794.6899827533557
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,7.89174517072053,2675.108370164481
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,7.411063620293372,1654.1848360769368
