Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,18PG,DOPE,DSPC,DOTAP,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_ARPE19
88,18PG,0,1,8.8188,3,10,1,1,0,0,0,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,5.62
89,18PG,0,1,8.8188,3,10,1,1,0,0,0,162.0,0.536333333,-0.342,8,0.99009901,40,1.960784314,5.03
90,18PG,0,1,8.8188,3,10,1,1,0,0,0,203.3333333,0.343333333,-2.2,12,0.99009901,40,1.960784314,3.258
91,18PG,0,1,8.8188,3,10,1,1,0,0,0,194.0,0.484333333,-3.503333333,4,0.99009901,60,1.960784314,3.258
92,18PG,0,1,8.8188,3,10,1,1,0,0,0,235.7333333,0.341333333,-2.013333333,8,0.99009901,60,1.960784314,3.219
93,18PG,0,1,8.8188,3,10,1,1,0,0,0,183.1666667,0.295666667,-3.336666667,12,0.99009901,60,1.960784314,2.708
94,18PG,0,1,8.8188,3,10,1,1,0,0,0,264.4666667,0.139,-6.496666667,4,0.99009901,80,1.960784314,2.197
95,18PG,0,1,8.8188,3,10,1,1,0,0,0,410.2,0.146666667,0.9383,8,0.99009901,80,1.960784314,2.079
96,18PG,0,1,8.8188,3,10,1,1,0,0,0,363.8,0.148333333,0.4627,12,0.99009901,80,1.960784314,1.792
97,18PG,0,1,8.8188,3,10,1,1,0,0,0,457.7666667,0.88,-20.96666667,4,0.99009901,20,9.090909091,4.205
98,18PG,0,1,8.8188,3,10,1,1,0,0,0,170.4666667,0.436333333,-1.013333333,8,0.99009901,20,9.090909091,3.829
99,18PG,0,1,8.8188,3,10,1,1,0,0,0,205.1333333,0.81,-0.812553333,12,0.99009901,20,9.090909091,4.205
100,18PG,0,1,8.8188,3,10,1,1,0,0,0,153.8666667,0.343666667,-1.636666667,4,0.99009901,40,9.090909091,4.159
101,18PG,0,1,8.8188,3,10,1,1,0,0,0,202.0333333,0.364666667,-0.022666667,8,0.99009901,40,9.090909091,4.554
102,18PG,0,1,8.8188,3,10,1,1,0,0,0,192.2666667,0.267,-3.43,12,0.99009901,40,9.090909091,4.344
103,18PG,0,1,8.8188,3,10,1,1,0,0,0,176.8,0.353333333,-13.4,4,0.99009901,60,9.090909091,4.673
104,18PG,0,1,8.8188,3,10,1,1,0,0,0,293.4666667,0.390666667,-1.985333333,8,0.99009901,60,9.090909091,4.852
105,18PG,0,1,8.8188,3,10,1,1,0,0,0,281.8333333,0.217333333,-3.243333333,12,0.99009901,60,9.090909091,4.205
106,18PG,0,1,8.8188,3,10,1,1,0,0,0,496.8666667,0.153666667,-1.304,4,0.99009901,80,9.090909091,4.595
107,18PG,0,1,8.8188,3,10,1,1,0,0,0,526.7333333,0.369,-0.888,8,0.99009901,80,9.090909091,4.963
108,18PG,0,1,8.8188,3,10,1,1,0,0,0,501.1333333,0.277,-0.417666667,12,0.99009901,80,9.090909091,4.796
