Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_N2a
171,18PG,0,1,9.3028,3,10,1,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,3.367
172,18PG,0,1,9.3028,3,10,1,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,2.0
173,18PG,0,1,9.3028,3,10,1,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,2.0
174,18PG,0,1,9.3028,3,10,1,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,2.0
175,18PG,0,1,9.3028,3,10,1,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,2.0
176,18PG,0,1,9.3028,3,10,1,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,2.0
177,18PG,0,1,9.3028,3,10,1,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,2.0
178,18PG,0,1,9.3028,3,10,1,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,2.0
179,18PG,0,1,9.3028,3,10,1,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,2.0
180,18PG,0,1,9.3028,3,10,1,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,2.0
181,DOPE,1,1,9.784,2,9,2,288.9666667,0.464333333,-7.436666667,4,0.199600798,20,0.497512438,6.284
182,DOPE,1,1,9.784,2,9,2,533.7,0.403333333,-3.523333333,8,0.199600798,20,0.497512438,6.05
183,DOPE,1,1,9.784,2,9,2,342.3333333,0.496333333,-3.396666667,12,0.199600798,20,0.497512438,5.537
184,DOPE,1,1,9.784,2,9,2,237.1333333,0.211,-4.23,4,0.199600798,40,0.497512438,5.442
185,DOPE,1,1,9.784,2,9,2,185.1333333,0.237333333,-1.803333333,8,0.199600798,40,0.497512438,5.147
186,DOPE,1,1,9.784,2,9,2,267.7333333,0.806666667,-2.356666667,12,0.199600798,40,0.497512438,4.369
187,DOPE,1,1,9.784,2,9,2,206.6,0.246666667,-5.31,4,0.199600798,60,0.497512438,5.7
