Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_B16
168,18PG,0,1,9.3028,3,10,36,1,265.9,0.18,-0.951333333,12,10,80,10,2.0
169,18PG,0,1,9.3028,3,10,36,1,675.8333333,0.61,-3.106666667,4,10,20,1,2.0
170,18PG,0,1,9.3028,3,10,36,1,682.8333333,0.205,-31.73333333,8,10,20,1,2.0
171,18PG,0,1,9.3028,3,10,36,1,464.0,0.574666667,-2.386666667,12,10,20,1,2.0
172,18PG,0,1,9.3028,3,10,36,1,163.5666667,0.133666667,-1.746666667,4,10,40,1,2.0
173,18PG,0,1,9.3028,3,10,36,1,459.9666667,0.154666667,-1.683333333,8,10,40,1,2.0
174,18PG,0,1,9.3028,3,10,36,1,753.9666667,0.546333333,-1.856666667,12,10,40,1,2.0
175,18PG,0,1,9.3028,3,10,36,1,194.8666667,0.121,-1.74,4,10,60,1,2.0
176,18PG,0,1,9.3028,3,10,36,1,934.6333333,0.794,-1.833333333,8,10,60,1,2.0
177,18PG,0,1,9.3028,3,10,36,1,1021.5,0.392,-1.422666667,12,10,60,1,2.0
178,18PG,0,1,9.3028,3,10,36,1,201.0,0.139666667,-1.713333333,4,10,80,1,2.0
179,18PG,0,1,9.3028,3,10,36,1,456.4,0.434666667,-2.203333333,8,10,80,1,2.0
180,18PG,0,1,9.3028,3,10,36,1,398.5,0.280666667,-1.184333333,12,10,80,1,2.0
181,DOPE,1,1,9.784,2,9,36,2,288.9666667,0.464333333,-7.436666667,4,500,20,200,2.485
182,DOPE,1,1,9.784,2,9,36,2,533.7,0.403333333,-3.523333333,8,500,20,200,2.526
183,DOPE,1,1,9.784,2,9,36,2,342.3333333,0.496333333,-3.396666667,12,500,20,200,3.773
184,DOPE,1,1,9.784,2,9,36,2,237.1333333,0.211,-4.23,4,500,40,200,2.0
185,DOPE,1,1,9.784,2,9,36,2,185.1333333,0.237333333,-1.803333333,8,500,40,200,2.303
186,DOPE,1,1,9.784,2,9,36,2,267.7333333,0.806666667,-2.356666667,12,500,40,200,2.603
187,DOPE,1,1,9.784,2,9,36,2,206.6,0.246666667,-5.31,4,500,60,200,2.0
188,DOPE,1,1,9.784,2,9,36,2,173.1333333,0.215,0.721666667,8,500,60,200,2.0
189,DOPE,1,1,9.784,2,9,36,2,183.6666667,0.260333333,-0.501666667,12,500,60,200,2.97
190,DOPE,1,1,9.784,2,9,36,2,166.6333333,0.219666667,-24.63333333,4,500,80,200,2.0
191,DOPE,1,1,9.784,2,9,36,2,137.6333333,0.164666667,-6.11,8,500,80,200,2.0
192,DOPE,1,1,9.784,2,9,36,2,158.8,0.225333333,-0.955,12,500,80,200,2.0
193,DOPE,1,1,9.784,2,9,36,2,577.6666667,0.252,-11.77666667,4,500,20,100,2.015
194,DOPE,1,1,9.784,2,9,36,2,562.7666667,0.344333333,-3.553333333,8,500,20,100,2.197
195,DOPE,1,1,9.784,2,9,36,2,288.1666667,0.316,-1.593,12,500,20,100,2.197
196,DOPE,1,1,9.784,2,9,36,2,240.3,0.260333333,-3.686666667,4,500,40,100,2.0
197,DOPE,1,1,9.784,2,9,36,2,191.7333333,0.264,0.269333333,8,500,40,100,2.015
198,DOPE,1,1,9.784,2,9,36,2,189.9666667,0.325666667,-2.24,12,500,40,100,3.401
199,DOPE,1,1,9.784,2,9,36,2,192.8,0.182,-3.663333333,4,500,60,100,2.0
200,DOPE,1,1,9.784,2,9,36,2,170.3,0.242,0.073,8,500,60,100,2.0
201,DOPE,1,1,9.784,2,9,36,2,181.6333333,0.328333333,-1.161666667,12,500,60,100,3.091
202,DOPE,1,1,9.784,2,9,36,2,172.9333333,0.206666667,-26.66666667,4,500,80,100,2.0
203,DOPE,1,1,9.784,2,9,36,2,148.0,0.187666667,-6.033333333,8,500,80,100,2.0
204,DOPE,1,1,9.784,2,9,36,2,162.5333333,0.193666667,-0.325333333,12,500,80,100,2.0
205,DOPE,1,1,9.784,2,9,36,2,650.7333333,0.484666667,-11.36666667,4,500,20,50,2.015
206,DOPE,1,1,9.784,2,9,36,2,403.2666667,0.629666667,-4.096666667,8,500,20,50,2.526
207,DOPE,1,1,9.784,2,9,36,2,475.3333333,0.162,-3.116666667,12,500,20,50,2.442
208,DOPE,1,1,9.784,2,9,36,2,191.8,0.206,-0.756333333,4,500,40,50,2.0
209,DOPE,1,1,9.784,2,9,36,2,170.0,0.294,0.3774,8,500,40,50,2.251
210,DOPE,1,1,9.784,2,9,36,2,307.4666667,0.557666667,-3.04,12,500,40,50,2.0
211,DOPE,1,1,9.784,2,9,36,2,189.0333333,0.220333333,-2.12,4,500,60,50,2.0
212,DOPE,1,1,9.784,2,9,36,2,155.4333333,0.233333333,1.195666667,8,500,60,50,2.0
213,DOPE,1,1,9.784,2,9,36,2,256.8,0.427666667,0.16,12,500,60,50,2.197
214,DOPE,1,1,9.784,2,9,36,2,202.3,0.256333333,-29.4,4,500,80,50,2.0
215,DOPE,1,1,9.784,2,9,36,2,135.8666667,0.173666667,-10.41,8,500,80,50,2.0
