,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_ARPE19
155,156,18PG,0,1,9.3028,3,10,36,1,12,50,80,10,250.6333333,0.152666667,-1.219666667,3.258
159,160,18PG,0,1,9.3028,3,10,36,1,4,10,40,10,111.6666667,0.341,-1.019766667,3.0
161,162,18PG,0,1,9.3028,3,10,36,1,12,10,40,10,118.0,0.328666667,-1.693333333,3.0
162,163,18PG,0,1,9.3028,3,10,36,1,4,10,60,10,233.5,0.391333333,-0.879,3.0
163,164,18PG,0,1,9.3028,3,10,36,1,8,10,60,10,264.6666667,0.407666667,-0.790333333,3.0
164,165,18PG,0,1,9.3028,3,10,36,1,12,10,60,10,220.9,0.306,-1.506666667,3.0
165,166,18PG,0,1,9.3028,3,10,36,1,4,10,80,10,256.1,0.264333333,0.606333333,3.0
166,167,18PG,0,1,9.3028,3,10,36,1,8,10,80,10,278.3,0.217333333,-1.317,3.434
167,168,18PG,0,1,9.3028,3,10,36,1,12,10,80,10,265.9,0.18,-0.951333333,3.526
169,170,18PG,0,1,9.3028,3,10,36,1,8,1,20,10,682.8333333,0.205,-31.73333333,3.97
171,172,18PG,0,1,9.3028,3,10,36,1,4,1,40,10,163.5666667,0.133666667,-1.746666667,3.0
172,173,18PG,0,1,9.3028,3,10,36,1,8,1,40,10,459.9666667,0.154666667,-1.683333333,3.0
174,175,18PG,0,1,9.3028,3,10,36,1,4,1,60,10,194.8666667,0.121,-1.74,3.0
176,177,18PG,0,1,9.3028,3,10,36,1,12,1,60,10,1021.5,0.392,-1.422666667,3.0
177,178,18PG,0,1,9.3028,3,10,36,1,4,1,80,10,201.0,0.139666667,-1.713333333,3.0
178,179,18PG,0,1,9.3028,3,10,36,1,8,1,80,10,456.4,0.434666667,-2.203333333,3.0
179,180,18PG,0,1,9.3028,3,10,36,1,12,1,80,10,398.5,0.280666667,-1.184333333,3.0
181,182,DOPE,1,1,9.784,2,9,36,2,8,200,20,500,533.7,0.403333333,-3.523333333,6.561
183,184,DOPE,1,1,9.784,2,9,36,2,4,200,40,500,237.1333333,0.211,-4.23,4.977
184,185,DOPE,1,1,9.784,2,9,36,2,8,200,40,500,185.1333333,0.237333333,-1.803333333,6.205
186,187,DOPE,1,1,9.784,2,9,36,2,4,200,60,500,206.6,0.246666667,-5.31,5.429
187,188,DOPE,1,1,9.784,2,9,36,2,8,200,60,500,173.1333333,0.215,0.721666667,3.258
188,189,DOPE,1,1,9.784,2,9,36,2,12,200,60,500,183.6666667,0.260333333,-0.501666667,5.153
189,190,DOPE,1,1,9.784,2,9,36,2,4,200,80,500,166.6333333,0.219666667,-24.63333333,3.0
190,191,DOPE,1,1,9.784,2,9,36,2,8,200,80,500,137.6333333,0.164666667,-6.11,3.0
191,192,DOPE,1,1,9.784,2,9,36,2,12,200,80,500,158.8,0.225333333,-0.955,3.0
192,193,DOPE,1,1,9.784,2,9,36,2,4,100,20,500,577.6666667,0.252,-11.77666667,6.5
193,194,DOPE,1,1,9.784,2,9,36,2,8,100,20,500,562.7666667,0.344333333,-3.553333333,6.692
194,195,DOPE,1,1,9.784,2,9,36,2,12,100,20,500,288.1666667,0.316,-1.593,6.635
195,196,DOPE,1,1,9.784,2,9,36,2,4,100,40,500,240.3,0.260333333,-3.686666667,5.182
196,197,DOPE,1,1,9.784,2,9,36,2,8,100,40,500,191.7333333,0.264,0.269333333,5.521
197,198,DOPE,1,1,9.784,2,9,36,2,12,100,40,500,189.9666667,0.325666667,-2.24,6.198
198,199,DOPE,1,1,9.784,2,9,36,2,4,100,60,500,192.8,0.182,-3.663333333,4.234
199,200,DOPE,1,1,9.784,2,9,36,2,8,100,60,500,170.3,0.242,0.073,4.06
200,201,DOPE,1,1,9.784,2,9,36,2,12,100,60,500,181.6333333,0.328333333,-1.161666667,5.318
201,202,DOPE,1,1,9.784,2,9,36,2,4,100,80,500,172.9333333,0.206666667,-26.66666667,3.0
202,203,DOPE,1,1,9.784,2,9,36,2,8,100,80,500,148.0,0.187666667,-6.033333333,3.0
203,204,DOPE,1,1,9.784,2,9,36,2,12,100,80,500,162.5333333,0.193666667,-0.325333333,3.526
206,207,DOPE,1,1,9.784,2,9,36,2,12,50,20,500,475.3333333,0.162,-3.116666667,6.292
207,208,DOPE,1,1,9.784,2,9,36,2,4,50,40,500,191.8,0.206,-0.756333333,4.19
208,209,DOPE,1,1,9.784,2,9,36,2,8,50,40,500,170.0,0.294,0.3774,4.443
210,211,DOPE,1,1,9.784,2,9,36,2,4,50,60,500,189.0333333,0.220333333,-2.12,3.0
211,212,DOPE,1,1,9.784,2,9,36,2,8,50,60,500,155.4333333,0.233333333,1.195666667,3.178
212,213,DOPE,1,1,9.784,2,9,36,2,12,50,60,500,256.8,0.427666667,0.16,4.025
213,214,DOPE,1,1,9.784,2,9,36,2,4,50,80,500,202.3,0.256333333,-29.4,3.0
214,215,DOPE,1,1,9.784,2,9,36,2,8,50,80,500,135.8666667,0.173666667,-10.41,3.0
215,216,DOPE,1,1,9.784,2,9,36,2,12,50,80,500,163.5333333,0.229333333,-0.4925,3.332
216,217,DOPE,1,1,9.784,2,9,36,2,4,10,20,500,431.8,0.420666667,-9.42,4.419
217,218,DOPE,1,1,9.784,2,9,36,2,8,10,20,500,465.9333333,0.358,-1.686666667,4.595
219,220,DOPE,1,1,9.784,2,9,36,2,4,10,40,500,197.5666667,0.262666667,-2.53,4.007
220,221,DOPE,1,1,9.784,2,9,36,2,8,10,40,500,199.4,0.327666667,2.476666667,4.431
221,222,DOPE,1,1,9.784,2,9,36,2,12,10,40,500,208.5,0.330666667,1.541666667,5.209
222,223,DOPE,1,1,9.784,2,9,36,2,4,10,60,500,193.9,0.197333333,-1.64,3.466
223,224,DOPE,1,1,9.784,2,9,36,2,8,10,60,500,159.3,0.201,2.77,3.434
224,225,DOPE,1,1,9.784,2,9,36,2,12,10,60,500,190.9666667,0.275,2.354,3.912
225,226,DOPE,1,1,9.784,2,9,36,2,4,10,80,500,166.8666667,0.266,-26.83333333,4.127
226,227,DOPE,1,1,9.784,2,9,36,2,8,10,80,500,146.8666667,0.208666667,5.42,4.82
227,228,DOPE,1,1,9.784,2,9,36,2,12,10,80,500,167.8,0.237,7.203333333,5.472
228,229,DOPE,1,1,9.784,2,9,36,2,4,1,20,500,287.7333333,0.327,2.916666667,7.904
230,231,DOPE,1,1,9.784,2,9,36,2,12,1,20,500,473.2,0.17,5.006666667,5.832
231,232,DOPE,1,1,9.784,2,9,36,2,4,1,40,500,261.7,0.330333333,4.206666667,6.913
232,233,DOPE,1,1,9.784,2,9,36,2,8,1,40,500,205.1,0.196,4.25,5.781
233,234,DOPE,1,1,9.784,2,9,36,2,12,1,40,500,177.9333333,0.268,2.72,5.684
234,235,DOPE,1,1,9.784,2,9,36,2,4,1,60,500,224.5,0.256333333,4.343333333,4.19
235,236,DOPE,1,1,9.784,2,9,36,2,8,1,60,500,195.0333333,0.254,5.876666667,7.149
236,237,DOPE,1,1,9.784,2,9,36,2,12,1,60,500,179.0333333,0.261666667,6.29,7.487
237,238,DOPE,1,1,9.784,2,9,36,2,4,1,80,500,237.6333333,0.301,6.303333333,7.888
