Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Helper_MW,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,Size,Zeta,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3
91,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,50,60,100,1.572063319,63.1654893,25.60801907,1.661723001,7.992705308,#N/A,#N/A,3.512,4.883,3.258,10.551,1.609,1.099
92,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,60,100,1.637503744,65.79488493,26.67400644,1.730895698,4.162709194,#N/A,#N/A,2.398,5.236,3.219,11.074,1.386,0.916
93,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,60,100,1.660544963,66.7206809,27.04933482,1.75525103,2.814188287,#N/A,#N/A,2.079,5.075,2.708,11.66,1.504,1.386
94,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,50,80,100,1.895047407,76.14298688,11.57596744,0.751172955,9.634825316,#N/A,#N/A,3.541,5.576,2.197,10.835,1.504,0.916
95,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,50,80,100,1.990960174,79.99676097,12.16185414,0.78919157,5.061233144,#N/A,#N/A,2.079,4.86,2.079,11.636,0.916,0.916
96,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,50,80,100,2.025125617,81.36952814,12.37055502,0.802734322,3.432056897,#N/A,#N/A,1.946,5.165,1.792,12.662,1.099,1.099
97,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,20,100,3.076808729,24.72522912,64.86048749,4.208844255,3.1286304,#N/A,#N/A,2.351,5.136,4.205,5.745,2.079,2.079
98,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,20,100,3.125704601,25.11815626,65.89123408,4.275730152,1.589174905,#N/A,#N/A,1.792,3.738,3.829,8.332,3.497,1.872
99,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,20,100,3.142350416,25.251922,66.24213521,4.298500381,1.065091995,#N/A,#N/A,2.015,3.466,4.205,8.183,3.239,1.872
100,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,40,100,5.41389837,43.50607706,42.79776366,2.777178043,5.505082869,#N/A,#N/A,2.351,5.389,4.159,8.525,3.091,1.946
101,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,40,100,5.567136098,44.73749515,44.00913329,2.8557847,2.830450764,#N/A,#N/A,2.251,4.043,4.554,8.45,2.398,1.792
102,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,40,100,5.620161398,45.16360636,44.42830708,2.882985192,1.904939972,#N/A,#N/A,3.784,4.111,4.344,9.234,2.442,1.386
103,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,60,100,7.249405125,58.25620587,25.47011053,1.652774016,7.371504457,#N/A,#N/A,2.442,5.82,4.673,11.024,1.504,1.946
104,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,60,100,7.526825255,60.48555351,26.44480035,1.716022348,3.826798541,#N/A,#N/A,2.303,5.635,4.852,8.867,1.609,1.609
105,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,60,100,7.624077956,61.26707603,26.78648867,1.738194752,2.584162593,#N/A,#N/A,3.135,3.135,4.205,10.038,2.303,1.253
106,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,10,80,100,8.729154122,70.14746601,11.50090162,0.746301879,8.876176376,#N/A,#N/A,1.504,6.109,4.595,5.541,1.386,1.386
107,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,10,80,100,9.134553669,73.405256,12.03502672,0.780961646,4.644201967,#N/A,#N/A,2.833,4.868,4.963,10.398,1.386,1.504
108,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,10,80,100,9.278186239,74.55948706,12.22426659,0.793241559,3.144818553,#N/A,#N/A,1.946,4.736,4.796,10.646,1.609,1.099
109,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,4,777.1,1,20,100,16.70339922,13.42284845,64.02091561,4.154363824,1.698472904,#N/A,#N/A,1.705,1.099,1.386,3.773,1.705,1.253
110,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,8,777.1,1,20,100,16.84646554,13.53781652,64.56926131,4.189946376,0.856510249,#N/A,#N/A,0.916,1.386,0.693,4.828,1.253,2.015
111,Dlin-MC3-DMA,18PG,0,1,9.3028,149,3,10,36,1,12,777.1,1,20,100,16.89470049,13.57657812,64.75413658,4.201943067,0.572641745,#N/A,#N/A,1.386,1.099,1.609,2.14,1.386,1.609
