,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_PC3
252,443,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,100,2.398
253,444,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,100,5.088
254,445,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,100,1.099
255,446,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,100,1.609
256,447,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,100,1.792
257,453,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,100,3.332
258,454,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,100,2.303
259,455,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,100,2.565
260,456,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,100,2.079
261,457,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,100,3.045
262,458,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,100,3.784
263,459,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,100,5.106
264,465,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,100,8.09
265,466,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,100,6.342
266,467,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,100,7.591
267,468,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,100,7.298
268,469,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,100,7.085
269,470,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,100,9.074
270,471,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,100,8.327
271,477,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,100,6.928
272,478,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,100,9.892
273,479,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,100,8.71
274,480,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,80,100,6.727
275,481,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,10,1.792
276,482,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,10,3.466
277,483,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,10,1.386
278,484,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,40,10,2.079
279,489,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,10,2.708
280,490,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,10,1.946
281,491,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,10,2.708
282,492,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,80,10,1.099
283,493,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,20,10,1.099
284,494,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,20,10,1.386
285,495,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,20,10,1.609
286,496,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,40,10,1.099
287,501,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,60,10,2.398
288,502,DOTAP,1,0,12.515,52.6,0,4,36,2,4,100,80,10,1.946
289,503,DOTAP,1,0,12.515,52.6,0,4,36,2,8,100,80,10,2.079
290,504,DOTAP,1,0,12.515,52.6,0,4,36,2,12,100,80,10,4.5
291,505,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,20,10,1.386
292,506,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,20,10,1.609
293,507,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,20,10,1.386
294,508,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,40,10,1.0
295,513,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,60,10,2.303
296,514,DOTAP,1,0,12.515,52.6,0,4,36,2,4,50,80,10,1.099
297,515,DOTAP,1,0,12.515,52.6,0,4,36,2,8,50,80,10,1.609
298,516,DOTAP,1,0,12.515,52.6,0,4,36,2,12,50,80,10,4.111
299,517,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,20,10,1.386
300,518,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,20,10,1.386
301,519,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,20,10,1.386
302,520,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,40,10,1.792
303,525,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,60,10,7.966
304,526,DOTAP,1,0,12.515,52.6,0,4,36,2,4,10,80,10,4.883
305,527,DOTAP,1,0,12.515,52.6,0,4,36,2,8,10,80,10,5.714
306,528,DOTAP,1,0,12.515,52.6,0,4,36,2,12,10,80,10,5.778
307,529,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,20,10,5.7
308,530,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,20,10,3.689
309,531,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,20,10,3.434
310,532,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,40,10,9.141
