Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HepG2
162,18PG,0,1,9.3028,3,10,36,1,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,1.504
163,18PG,0,1,9.3028,3,10,36,1,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,1.5
164,18PG,0,1,9.3028,3,10,36,1,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,2.398
165,18PG,0,1,9.3028,3,10,36,1,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,1.792
166,18PG,0,1,9.3028,3,10,36,1,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,1.792
167,18PG,0,1,9.3028,3,10,36,1,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,1.946
168,18PG,0,1,9.3028,3,10,36,1,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,2.303
169,18PG,0,1,9.3028,3,10,36,1,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,1.5
170,18PG,0,1,9.3028,3,10,36,1,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,1.5
171,18PG,0,1,9.3028,3,10,36,1,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,1.5
172,18PG,0,1,9.3028,3,10,36,1,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,1.609
173,18PG,0,1,9.3028,3,10,36,1,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,1.5
174,18PG,0,1,9.3028,3,10,36,1,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,1.5
175,18PG,0,1,9.3028,3,10,36,1,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,1.5
176,18PG,0,1,9.3028,3,10,36,1,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,1.872
177,18PG,0,1,9.3028,3,10,36,1,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,1.5
178,18PG,0,1,9.3028,3,10,36,1,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,1.609
179,18PG,0,1,9.3028,3,10,36,1,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,1.5
180,18PG,0,1,9.3028,3,10,36,1,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,1.504
181,DOPE,1,1,9.784,2,9,36,2,288.9666667,0.464333333,-7.436666667,4,0.199600798,20,0.497512438,2.485
182,DOPE,1,1,9.784,2,9,36,2,533.7,0.403333333,-3.523333333,8,0.199600798,20,0.497512438,1.792
183,DOPE,1,1,9.784,2,9,36,2,342.3333333,0.496333333,-3.396666667,12,0.199600798,20,0.497512438,1.609
184,DOPE,1,1,9.784,2,9,36,2,237.1333333,0.211,-4.23,4,0.199600798,40,0.497512438,1.5
185,DOPE,1,1,9.784,2,9,36,2,185.1333333,0.237333333,-1.803333333,8,0.199600798,40,0.497512438,1.5
186,DOPE,1,1,9.784,2,9,36,2,267.7333333,0.806666667,-2.356666667,12,0.199600798,40,0.497512438,1.5
187,DOPE,1,1,9.784,2,9,36,2,206.6,0.246666667,-5.31,4,0.199600798,60,0.497512438,1.5
188,DOPE,1,1,9.784,2,9,36,2,173.1333333,0.215,0.721666667,8,0.199600798,60,0.497512438,1.5
189,DOPE,1,1,9.784,2,9,36,2,183.6666667,0.260333333,-0.501666667,12,0.199600798,60,0.497512438,1.504
190,DOPE,1,1,9.784,2,9,36,2,166.6333333,0.219666667,-24.63333333,4,0.199600798,80,0.497512438,1.5
191,DOPE,1,1,9.784,2,9,36,2,137.6333333,0.164666667,-6.11,8,0.199600798,80,0.497512438,1.5
192,DOPE,1,1,9.784,2,9,36,2,158.8,0.225333333,-0.955,12,0.199600798,80,0.497512438,1.5
193,DOPE,1,1,9.784,2,9,36,2,577.6666667,0.252,-11.77666667,4,0.199600798,20,0.99009901,1.5
194,DOPE,1,1,9.784,2,9,36,2,562.7666667,0.344333333,-3.553333333,8,0.199600798,20,0.99009901,2.398
195,DOPE,1,1,9.784,2,9,36,2,288.1666667,0.316,-1.593,12,0.199600798,20,0.99009901,1.609
196,DOPE,1,1,9.784,2,9,36,2,240.3,0.260333333,-3.686666667,4,0.199600798,40,0.99009901,1.5
197,DOPE,1,1,9.784,2,9,36,2,191.7333333,0.264,0.269333333,8,0.199600798,40,0.99009901,1.5
198,DOPE,1,1,9.784,2,9,36,2,189.9666667,0.325666667,-2.24,12,0.199600798,40,0.99009901,1.5
199,DOPE,1,1,9.784,2,9,36,2,192.8,0.182,-3.663333333,4,0.199600798,60,0.99009901,1.5
200,DOPE,1,1,9.784,2,9,36,2,170.3,0.242,0.073,8,0.199600798,60,0.99009901,1.5
201,DOPE,1,1,9.784,2,9,36,2,181.6333333,0.328333333,-1.161666667,12,0.199600798,60,0.99009901,1.5
202,DOPE,1,1,9.784,2,9,36,2,172.9333333,0.206666667,-26.66666667,4,0.199600798,80,0.99009901,1.5
203,DOPE,1,1,9.784,2,9,36,2,148.0,0.187666667,-6.033333333,8,0.199600798,80,0.99009901,1.5
204,DOPE,1,1,9.784,2,9,36,2,162.5333333,0.193666667,-0.325333333,12,0.199600798,80,0.99009901,1.5
205,DOPE,1,1,9.784,2,9,36,2,650.7333333,0.484666667,-11.36666667,4,0.199600798,20,1.960784314,2.398
206,DOPE,1,1,9.784,2,9,36,2,403.2666667,0.629666667,-4.096666667,8,0.199600798,20,1.960784314,2.351
207,DOPE,1,1,9.784,2,9,36,2,475.3333333,0.162,-3.116666667,12,0.199600798,20,1.960784314,1.5
208,DOPE,1,1,9.784,2,9,36,2,191.8,0.206,-0.756333333,4,0.199600798,40,1.960784314,1.5
209,DOPE,1,1,9.784,2,9,36,2,170.0,0.294,0.3774,8,0.199600798,40,1.960784314,1.5
210,DOPE,1,1,9.784,2,9,36,2,307.4666667,0.557666667,-3.04,12,0.199600798,40,1.960784314,1.5
211,DOPE,1,1,9.784,2,9,36,2,189.0333333,0.220333333,-2.12,4,0.199600798,60,1.960784314,1.5
212,DOPE,1,1,9.784,2,9,36,2,155.4333333,0.233333333,1.195666667,8,0.199600798,60,1.960784314,1.5
213,DOPE,1,1,9.784,2,9,36,2,256.8,0.427666667,0.16,12,0.199600798,60,1.960784314,1.5
214,DOPE,1,1,9.784,2,9,36,2,202.3,0.256333333,-29.4,4,0.199600798,80,1.960784314,1.5
215,DOPE,1,1,9.784,2,9,36,2,135.8666667,0.173666667,-10.41,8,0.199600798,80,1.960784314,1.5
216,DOPE,1,1,9.784,2,9,36,2,163.5333333,0.229333333,-0.4925,12,0.199600798,80,1.960784314,4.357
217,DOPE,1,1,9.784,2,9,36,2,431.8,0.420666667,-9.42,4,0.199600798,20,9.090909091,2.741
218,DOPE,1,1,9.784,2,9,36,2,465.9333333,0.358,-1.686666667,8,0.199600798,20,9.090909091,1.5
219,DOPE,1,1,9.784,2,9,36,2,599.5333333,0.522,-0.166206667,12,0.199600798,20,9.090909091,1.5
220,DOPE,1,1,9.784,2,9,36,2,197.5666667,0.262666667,-2.53,4,0.199600798,40,9.090909091,1.5
221,DOPE,1,1,9.784,2,9,36,2,199.4,0.327666667,2.476666667,8,0.199600798,40,9.090909091,1.5
222,DOPE,1,1,9.784,2,9,36,2,208.5,0.330666667,1.541666667,12,0.199600798,40,9.090909091,1.5
223,DOPE,1,1,9.784,2,9,36,2,193.9,0.197333333,-1.64,4,0.199600798,60,9.090909091,1.5
224,DOPE,1,1,9.784,2,9,36,2,159.3,0.201,2.77,8,0.199600798,60,9.090909091,1.5
